model,hyperparameters,preprocessor,postprocessor,UnifiedMetricLibrary (accuracy_score),UnifiedMetricLibrary (disparate_impact),UnifiedMetricLibrary (equal_opportunity_difference),UnifiedMetricLibrary (average_odds_difference),UnifiedMetricLibrary (statistical_parity_difference)
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.8485295201592098,0.2071476895807619,0.13187321937321933,0.1072317291614802,0.20984956494499774
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.8484558118965136,0.2072446688361836,0.13148741690408355,0.10703882792691231,0.20972571059771017
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.8483821036338174,0.207341738938683,0.13110161443494778,0.10684592669234443,0.20960185625042255
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.8483821036338174,0.207341738938683,0.13110161443494778,0.10684592669234443,0.20960185625042255
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.8490454779980836,0.21244620656566812,0.11571699905033239,0.09860637346920857,0.207666835053467
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",None,None,0.8490454779980836,0.21810577986435994,0.10611942070275404,0.09480332605586254,0.20937023828749735
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",None,None,0.8493403110488685,0.21973191801805506,0.1034188034188035,0.09263214911764503,0.20738856873089595
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",None,None,0.8491191862607799,0.22024507055896597,0.10187559354226028,0.09176933659090206,0.206769296994458
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",None,None,0.8492666027861723,0.21993689182217638,0.10303300094966761,0.09234804029460572,0.20714086003632076
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",None,None,0.8489717697353873,0.21780355476524071,0.1068910256410257,0.09528033611346974,0.20974180132936016
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.8489717697353873,0.21454776354971053,0.10611942070275404,0.09462845259166165,0.20944744427513912
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.8490454779980836,0.2147472500802077,0.10573361823361827,0.0943443437686224,0.20919973558056393
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.8490454779980836,0.21454776354971053,0.10611942070275404,0.09462845259166165,0.20944744427513912
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",None,None,0.8489717697353873,0.21198776269964514,0.11036324786324792,0.09811847999897899,0.21266765730461645
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",None,None,0.8491928945234761,0.21159932886968705,0.11152065527065524,0.09878839129115402,0.21316307469376677
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",None,None,0.8490454779980836,0.21189052060666366,0.11036324786324792,0.09820968758745036,0.21279151165190402
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",None,None,0.849487727574261,0.21198776269964514,0.11113485280151947,0.09832186729117205,0.21266765730461645
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",None,None,0.8491191862607799,0.21198776269964514,0.11036324786324792,0.09811847999897899,0.21266765730461645
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.8484558118965136,0.21395152150186514,0.10650522317188982,0.09527739176858634,0.21019057035886463
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",None,None,0.8488243532099948,0.21189052060666366,0.10997744539411214,0.09810799394135383,0.21279151165190402
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",None,None,0.8487506449472986,0.21159932886968705,0.11074905033238369,0.09858500399896096,0.21316307469376677
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",None,None,0.848603228421906,0.21228002524013181,0.1088200379867047,0.09743808264917875,0.21229609426275364
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",None,None,0.8488243532099948,0.21198776269964514,0.10997744539411214,0.09801678635288247,0.21266765730461645
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",None,None,0.8487506449472986,0.21198776269964514,0.10997744539411214,0.09801678635288247,0.21266765730461645
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.8481609788457286,0.21405066493166208,0.10534781576448249,0.0948811032418254,0.21006671601157706
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",None,None,0.848603228421906,0.21218251489321396,0.10920584045584047,0.09763098388374664,0.21241994861004126
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",None,None,0.8484558118965136,0.21218251489321396,0.10920584045584047,0.09763098388374664,0.21241994861004126
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",None,None,0.848603228421906,0.21218251489321396,0.10920584045584047,0.09763098388374664,0.21241994861004126
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",None,None,0.848603228421906,0.2120850940874779,0.10959164292497625,0.09782388511831452,0.21254380295732883
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",None,None,0.8486769366846023,0.2120850940874779,0.10959164292497625,0.09782388511831452,0.21254380295732883
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.8479398540576398,0.2095005265660616,0.12762939221272557,0.10392411693110563,0.2068770606100956
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.8479398540576398,0.2095005265660616,0.12762939221272557,0.10392411693110563,0.2068770606100956
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.8479398540576398,0.2095005265660616,0.12762939221272557,0.10392411693110563,0.2068770606100956
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.8479398540576398,0.2095005265660616,0.12762939221272557,0.10392411693110563,0.2068770606100956
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.8479398540576398,0.2095005265660616,0.12762939221272557,0.10392411693110563,0.2068770606100956
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,None,0.8497825606250461,0.21034669167692477,0.11499287749287757,0.10088933275615063,0.21477318120850547
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,None,0.8497825606250461,0.21034669167692477,0.11499287749287757,0.10088933275615063,0.21477318120850547
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,None,0.8497825606250461,0.21034669167692477,0.11499287749287757,0.10088933275615063,0.21477318120850547
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,None,0.8497825606250461,0.21034669167692477,0.11499287749287757,0.10088933275615063,0.21477318120850547
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,None,0.8497825606250461,0.21034669167692477,0.11499287749287757,0.10088933275615063,0.21477318120850547
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.9509102970442986,0.24132657190364776,0.0,0.0,0.24355728580948044
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.8488243532099948,0.20321504058651757,0.13148741690408355,0.10722878481659687,0.2102983339745022
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.8488243532099948,0.20321504058651757,0.13148741690408355,0.10722878481659687,0.2102983339745022
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.8488243532099948,0.20321504058651757,0.13148741690408355,0.10722878481659687,0.2102983339745022
