model,hyperparameters,preprocessor,postprocessor,UnifiedMetricLibrary (average_odds_difference),UnifiedMetricLibrary (equal_opportunity_difference),UnifiedMetricLibrary (disparate_impact),UnifiedMetricLibrary (statistical_parity_difference),UnifiedMetricLibrary (accuracy_score)
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.08370399007060453,0.12653061224489792,0.8899449184577168,0.10524684982441646,0.7066666666666667
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.06899810771766335,0.12653061224489792,0.9010692299384382,0.09460855195207607,0.7033333333333334
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.06899810771766335,0.12653061224489792,0.9010692299384382,0.09460855195207607,0.7033333333333334
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.06899810771766335,0.12653061224489792,0.9010692299384382,0.09460855195207607,0.7033333333333334
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.06899810771766335,0.12653061224489792,0.9010692299384382,0.09460855195207607,0.7033333333333334
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",None,None,0.002301937724242198,0.0993197278911564,0.9476710753306498,0.04699442263995046,0.72
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",None,None,0.010776513995428671,0.0993197278911564,0.9425760695493022,0.051848791571989294,0.7166666666666667
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",None,None,0.002301937724242198,0.0993197278911564,0.9476710753306498,0.04699442263995046,0.72
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",None,None,0.010776513995428671,0.0993197278911564,0.9425760695493022,0.051848791571989294,0.7166666666666667
LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear'}",None,None,0.002301937724242198,0.0993197278911564,0.9476710753306498,0.04699442263995046,0.72
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.17793388541857422,0.09863945578231292,0.7853892510146353,0.18023135715761207,0.7733333333333333
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.17793388541857422,0.09863945578231292,0.7853892510146353,0.18023135715761207,0.7733333333333333
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.17793388541857422,0.09863945578231292,0.7853892510146353,0.18023135715761207,0.7733333333333333
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.17793388541857422,0.09863945578231292,0.7853892510146353,0.18023135715761207,0.7733333333333333
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.17793388541857422,0.09863945578231292,0.7853892510146353,0.18023135715761207,0.7733333333333333
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",None,None,0.15078065124354825,0.07823129251700678,0.8087639311043566,0.1559595124974179,0.77
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",None,None,0.15078065124354825,0.07823129251700678,0.8087639311043566,0.1559595124974179,0.77
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",None,None,0.15078065124354825,0.07823129251700678,0.8087639311043566,0.1559595124974179,0.77
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",None,None,0.15078065124354825,0.07823129251700678,0.8087639311043566,0.1559595124974179,0.77
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",None,None,0.15078065124354825,0.07823129251700678,0.8087639311043566,0.1559595124974179,0.77
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.22358214472229573,0.10170068027210888,0.7433121811621252,0.21307581078289606,0.7733333333333333
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.20040168609816808,0.10170068027210888,0.7605757196495619,0.19758314397851684,0.7733333333333333
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.20040168609816808,0.10170068027210888,0.7605757196495619,0.19758314397851684,0.7733333333333333
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.20887626236935455,0.10170068027210888,0.7561279084235412,0.20243751291055567,0.77
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.20040168609816808,0.10170068027210888,0.7605757196495619,0.19758314397851684,0.7733333333333333
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",None,None,0.1834525335557952,0.10170068027210888,0.769630192502533,0.18787440611443917,0.78
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",None,None,0.19475705536451868,0.0948979591836735,0.7611160657408588,0.19365833505474073,0.78
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",None,None,0.1834525335557952,0.10170068027210888,0.769630192502533,0.18787440611443917,0.78
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",None,None,0.1834525335557952,0.10170068027210888,0.769630192502533,0.18787440611443917,0.78
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",None,None,0.19475705536451868,0.0948979591836735,0.7611160657408588,0.19365833505474073,0.78
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.23321481134826813,0.10850340136054426,0.7304964539007093,0.22371410865523644,0.7833333333333333
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.21850892899532695,0.10850340136054426,0.7433121811621252,0.21307581078289606,0.78
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.21850892899532695,0.10850340136054426,0.7433121811621252,0.21307581078289606,0.78
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.21850892899532695,0.10850340136054426,0.7433121811621252,0.21307581078289606,0.78
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.21850892899532695,0.10850340136054426,0.7433121811621252,0.21307581078289606,0.78
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",None,None,0.20946293771745986,0.0948979591836735,0.7479933749522233,0.2042966329270811,0.7833333333333333
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",None,None,0.20946293771745986,0.0948979591836735,0.7479933749522233,0.2042966329270811,0.7833333333333333
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",None,None,0.20946293771745986,0.0948979591836735,0.7479933749522233,0.2042966329270811,0.7833333333333333
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",None,None,0.20946293771745986,0.0948979591836735,0.7479933749522233,0.2042966329270811,0.7833333333333333
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",None,None,0.20946293771745986,0.0948979591836735,0.7479933749522233,0.2042966329270811,0.7833333333333333
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",None,None,0.07883950190245592,0.11530612244897964,0.8558479164043813,0.11826068994009498,0.7666666666666667
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",None,None,0.07883950190245592,0.11530612244897964,0.8558479164043813,0.11826068994009498,0.7666666666666667
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",None,None,0.07883950190245592,0.11530612244897964,0.8558479164043813,0.11826068994009498,0.7666666666666667
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",None,None,0.07883950190245592,0.11530612244897964,0.8558479164043813,0.11826068994009498,0.7666666666666667
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",None,None,0.07883950190245592,0.11530612244897964,0.8558479164043813,0.11826068994009498,0.7666666666666667
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.20026044316031497,0.11836734693877549,0.752108775022032,0.2033670729188184,0.7733333333333333
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.20026044316031497,0.11836734693877549,0.752108775022032,0.2033670729188184,0.7733333333333333
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.20026044316031497,0.11836734693877549,0.752108775022032,0.2033670729188184,0.7733333333333333
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.20026044316031497,0.11836734693877549,0.752108775022032,0.2033670729188184,0.7733333333333333
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.20026044316031497,0.11836734693877549,0.752108775022032,0.2033670729188184,0.7733333333333333
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,None,0.1834525335557952,0.10170068027210888,0.769630192502533,0.18787440611443917,0.78
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,None,0.1834525335557952,0.10170068027210888,0.769630192502533,0.18787440611443917,0.78
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,None,0.1834525335557952,0.10170068027210888,0.769630192502533,0.18787440611443917,0.78
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,None,0.1834525335557952,0.10170068027210888,0.769630192502533,0.18787440611443917,0.78
LogisticRegression,"{'penalty': 'l2', 'C': 0.5, 'solver': 'liblinear'}",None,None,0.1834525335557952,0.10170068027210888,0.769630192502533,0.18787440611443917,0.78
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.20040168609816808,0.10170068027210888,0.7605757196495619,0.19758314397851684,0.7733333333333333
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.20040168609816808,0.10170068027210888,0.7605757196495619,0.19758314397851684,0.7733333333333333
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.20040168609816808,0.10170068027210888,0.7605757196495619,0.19758314397851684,0.7733333333333333
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.20040168609816808,0.10170068027210888,0.7605757196495619,0.19758314397851684,0.7733333333333333
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.20040168609816808,0.10170068027210888,0.7605757196495619,0.19758314397851684,0.7733333333333333
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",None,None,0.168746651202854,0.10170068027210888,0.7826747720364743,0.17723610824209868,0.7766666666666666
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",None,None,0.168746651202854,0.10170068027210888,0.7826747720364743,0.17723610824209868,0.7766666666666666
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",None,None,0.168746651202854,0.10170068027210888,0.7826747720364743,0.17723610824209868,0.7766666666666666
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",None,None,0.168746651202854,0.10170068027210888,0.7826747720364743,0.17723610824209868,0.7766666666666666
LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'liblinear'}",None,None,0.168746651202854,0.10170068027210888,0.7826747720364743,0.17723610824209868,0.7766666666666666
LogisticRegression,"{'penalty': 'l2', 'C': 1.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.0,0.0,0.8944854537559705,0.07529436066928319,1.0
